NAME,ADDRESS,CATEGORY,DESCRIPTION,COUNTY,LATITUDE,LONGITUDE,RATING
Alba Iulia smart City,Strada Gabriel Bethlen 5 Alba Iulia,Business & Services,"Smart City is the city that connects the people to everything that?s most important to make their lives easier. Through the Alba Iulia Smart City Pilot Project the city and its citizens benefit from the advantages provided by the new and innovative technologies. Alba Iulia Smart City is a project through which companies from various fields, especially IT, creative and communications industries are testing intelligent solutions that meet the diverse needs of the local community. On the one hand, through this way of collaboration the citizens are benefiting from new services and from immediate or indirect benefits provided by the intelligent solutions that are being tested, and the municipality develops future plans and strategies, being endowed with concrete data and tangible benefits of the solutions tested. On the other hand, companies, start-ups, academic actors or other partner entities have the opportunity to ?try? the performance of their products and services in a real environment, thus having the opportunity to build a scalable business model, which can be replicated in any other city from Romania or abroad. Through the Smart City pilot project, we aim to increase the quality of our inhabitants? lives and to show that the infrastructure of future cities will not mean only the basic utilities with which a city operates. The widespread use of smart technologies transforms communities as a whole and also the way in which people interact with their own city. These are, in fact, the premises of a smart city: the channeling of technological advantages towards the concrete needs of the city and the possibility for citizens to make the most of the implemented solutions, either directly or indirectly. With the occasion of celebrating the Centenary Year in Alba Iulia ? ?The city where the future was born? ? we will place the digital foundation for another 100 years of Romania, celebrating 100 years of living history. Alba Iulia deserves to become a more communicative, business-friendly city, more integrative for better ergonomics and mobility, more accessible due to the intelligent solutions, more competitive, creative, efficient, productive and more inclusive for citizens. All the above mentioned will contribute, with the involvement of smart technologies, to the improvement of the  quality of life, improving public services and making the relationship between the community and municipality more transparent.",Alba,46.07008,23.57189,0
Ideativ City Tour - Day Tours,Strada Iederei 26 510041 Alba Iulia,Educational Facility,"Explore Transylvanian highlights away from the tourist crowds and benefit from your guide?s undivided attention on a private tour of Corvin Castle and Alba Iulia, leaving the hustle and bustle of the city behind as you gain insight into the wider region?s history and culture from your guide. Travel with ease between dispersed locations via air-conditioned vehicle, and save time finding a meeting point with included hotel pickup and drop-off.",Alba,46.06836,23.55189,0
City Cafe Bistro,Bulevardul Revolu?iei 1989 31 Alba Iulia,Restaurant,"Bulevardul Revolu?iei 1989,Nr.31 510024 Alba Iulia Get Directions Highlights info row image 0758 700 453 Highlights info row image Typically replies within a few hours Send message Highlights info row image Restaurant Highlights info row image Opens on Monday Closed now Highlights info row image Suggest Edits",Alba,46.073047,23.558291,0
Alba Iulia,Alba Iulia,Railway Station,"Alba Iulia (Romanian pronunciation: [?alba ?juli.a] (About this soundlisten); German: Karlsburg or Carlsburg, formerly Wei�enburg, Hungarian: Gyulafeh�rv�r, Latin: Apulum,[2] Ottoman Turkish: Erdel Belgrad� or Belgrad-� Erdel) is the seat of Alba County in the west-central part of Romania. Located on the Mure? River in the historical region of Transylvania, it has a population of 63,536 (as of 2011).[3] Since the High Middle Ages, the city has been the seat of Transylvania's Roman Catholic diocese. Between 1541 and 1690 it was the capital of the Eastern Hungarian Kingdom and the latter Principality of Transylvania. At one point it also was a center of Eastern Orthodox Metropolitan of Transylvania with suffragan to Vad diocese.[4][5] Alba Iulia is historically important for Romanians, Hungarians, and Transylvanian Saxons. In December 2018, Alba Iulia was officially declared Capital of the Great Union of Romania.[6] The city administers four villages: B?r?ban? (Borb�nd), Mice?ti (Ompolykisfalud), Oarda (Als�v�radja) and P�cli?a (Poklos).",Alba,46.05644,23.57586,0
Cetatea Alba Iulia,Strada Mihai Viteazul Alba Iulia,Landmark/Attraction,"The Alba Carolina Citadel (Romanian: Cetatea Alba Carolina) is a star-shaped Romanian fortress located in Alba Iulia.[2][3][4][5][6][7] Its construction commenced on November 4, 1715 during the Habsburg rule in Transylvania, and was completed in 1738. 20,000 serfs were involved in its construction, which is estimated to have cost around 3 million guldens. The citadel was built on the site of 2 other fortifications? the legionary fortress of Legio XIII Gemina, as well as the medieval Balgrad citadel.",Alba,46.06831,23.57666,0
Cetatea Alba Carolina,Strada Militari 510009 Alba Iulia,Museum,"The Alba Carolina Citadel (Romanian: Cetatea Alba Carolina) is a star-shaped Romanian fortress located in Alba Iulia.[2][3][4][5][6][7] Its construction commenced on November 4, 1715 during the Habsburg rule in Transylvania, and was completed in 1738. 20,000 serfs were involved in its construction, which is estimated to have cost around 3 million guldens. The citadel was built on the site of 2 other fortifications? the legionary fortress of Legio XIII Gemina, as well as the medieval Balgrad citadel.",Alba,46.06747,23.57233,0
Citadel of Alba Iulia,Strada Unirii 510009 Alba Iulia,Sights & Museums,"Back in the XVIII century, when the Marquis de Vauban designed and implemented a revolutionary system of fortifications and defenses, little did he know that his designs would earn him international recognition throughout the centuries, as today there are tens of citadels built by the system that bears his name. One of the most spectacular such fortresses of this type is Alba Carolina ? the largest citadel in Romania, located in the city of Alba Iulia. Such is the complexity of this ample landmark that, for the sake of convenience, visits to the citadel have been organized into six separate tours, each with a theme of its own. One of these tours is dedicated to the heroic figures of Horea, Closca, and Crisan, leaders of a major peasant revolt of the XVIII century. It includes the prison cell that Horea was detained in, embedded in the pedestal of the grand statue representing the Austrian emperor Carol VI ? erected at Gate III of the Alba Carolina citadel ? as well as the gaols, located on the south-eastern flank of the Eugene of Savoy bastion, complete with the scaffold where Horea and Closca were executed on a breaking wheel. Another tour walks visitors through the seven gates of the Vaubam citadel, as well as the various constructions of historical importance located nearby. Each of the gates has something worthy to be noted: Gate I, for instance, is beautifully shaped as a triumphal arch; Gate II has three entries, open in the upper half; Gate III, the largest and most impressive of them, is decorated with intricate carvings on both facades; Gate IV is the only one of the west side gates that was honored with Baroque style decorations; Gate V, built in a deceptively simple style, is completed by a bridge that connects the Saint Michael ravelin to the counterguard; Gate VI has earned its fame as the King?s Gate since it served as entry to king Ferdinand and queen Mary on their coronation day; finally, Gate VII, which was only recently uncovered, is a massive tunnel that was used both for procurement purposes and to allow the cavalry to exit the citadel in large numbers when urgent action was required. A third and fourth tour focus on the southern and northern sides of the defense moat surrounding the fortress, which constitutes a genuine dendrological park thanks to the over 70 species of plants and shrubs growing here. The northern tour has the added attraction of two superbly landscaped gardens, a Roman one and a Japanese one, as well as a statue of a XVIII century drummer. However, by far the most spectacular of all the sights is the star-shaped citadel itself, a monumental construction that can be visited in its entire splendor in the tour of the three fortifications. To go on this tour is to enjoy is like enjoying a live lesson in history and military engineering. The three fortifications that give the tour its name refer to the fact that, as it stands today, the Alba Carolina citadel is a series of three successive constructions, each of them incorporating fragments from the previous one. The oldest is the Roman castrum, followed by the medieval stronghold, further expanded in the XVIII century into a Vauban citadel. The mastermind of this latter project was prince Eugene of Savoy, who, however, failed to complete the construction, choosing to redirect funds towards other fortifications before having erected the fourth line of defense. Further works were carried out towards the end of the XVIII century under the supervision of general Bohn, but these too were interrupted before reaching their full completion.",Alba,46.069855,23.566324,0
Alba Mall,Strada Tudor Vladimirescu Alba Iulia,Shopping Centre,"Alba Mall, the largest shopping center in the county, opens its doors in 2007 with thousands of people eager to see, experiment, buy and enjoy what has been created for them. Thinking from the start as an atypical building from classic shopping centers, Alba Mall shows personality, innovation and style. It was created as a ""city in the city"" and is totally found in this formula: mini-streets, promenade areas or miniature markets. The food court area, children's playgrounds, international brands to which Alba-Iulians have direct access here at their home make the Alba Mall not only a favorite shopping area but also a real social space, a meeting place for friends , where shopping complements with relaxation and fun with top events. The shopping center has over 100 stores, including 16 restaurants and cafes, with a total rental surface of 19,500sqm and over 400 parking spaces. It also has a Ballroom, an inspired choice for: fast-time weddings, successful private parties, high-class conferences, or business meetings. The only multiplex in the Alba and Sibiu counties, COLORS CINEMA 3D, offers filmmakers a cinematic experience at high standards of quality and comfort, and Carrefour Market offers its clients low prices and a wide range of products and promotions. Alba Mall has not stopped at any moment since the first buyer has passed the threshold so far, reinventing, listening to its customers and constantly adapting to their needs and their desire to have all the facilities here in a few steps From home.",Alba,46.08059,23.58406,0
Gr?dini?a Emanuel Alba-Iulia,DN1 510158 Alba Iulia,Educational Facility,"Gradinita cu program normal ?Emanuel? isi propune promovarea si cultivarea, inca de la varsta prescolaritatii, a valorilor crestin-morale necesare unei bune integrari in viata sociala in general, precum si responsabilizarea copiilor in a-si forma un comportament altruist, bazat pe credinta in Dumnezeu si a manifestarii acesteia prin comportamente pro-sociale. Dorim ca timpul petrecut de prescolari in gradinita sa fie pentru copii, o experienta pozitiva din care sa beneficieze de resursele necesare pentru a deveni intr-adevar oameni de n?dejde pentru societatea de maine si pentru a trai cu demnitate Din specificul gradinitei face parte si optionalul de educatie crestina?Micul Crestin?.",Alba,46.04495,23.56512,0
?coala Sf�ntul Iosif Alba-Iulia,Strada Regimentul 5 V�n?tori 510158 Alba Iulia,Educational Facility,Tipul institutiei: Scoala cu clasele I-VIII,Alba,46.0476,23.56674,0
