NAME,ADDRESS,CATEGORY,DESCRIPTION,COUNTY,LATITUDE,LONGITUDE,RATING
"Alba Iulia smart City","Strada Gabriel Bethlen 5 Alba Iulia","Business & Services","N/A","Alba",46.07008,23.57189,0
"Ideativ City Tour - Day Tours","Strada Iederei 26 510041 Alba Iulia","Educational Facility","N/A","Alba",46.06836,23.55189,0
"City Cafe Bistro","Bulevardul Revoluției 1989 31 Alba Iulia","Restaurant","N/A","Alba",46.073047,23.558291,0
"Alba Iulia","Alba Iulia","Railway Station","N/A","Alba",46.05644,23.57586,0
"Cetatea Alba Iulia","Strada Mihai Viteazul Alba Iulia","Landmark/Attraction","N/A","Alba",46.06831,23.57666,0
"Cetatea Alba Carolina","Strada Militari 510009 Alba Iulia","Museum","N/A","Alba",46.06747,23.57233,0
"Citadel of Alba Iulia","Strada Unirii 510009 Alba Iulia","Sights & Museums","N/A","Alba",46.069855,23.566324,0
"Alba Mall","Strada Tudor Vladimirescu Alba Iulia","Shopping Centre","N/A","Alba",46.08059,23.58406,0
"Grădinița Emanuel Alba-Iulia","DN1 510158 Alba Iulia","Educational Facility","N/A","Alba",46.04495,23.56512,0
"Școala Sfântul Iosif Alba-Iulia","Strada Regimentul 5 Vânători 510158 Alba Iulia","Educational Facility","N/A","Alba",46.0476,23.56674,0
"Autogara Alba Iulia","Alba Iulia","Public Transport","N/A","Alba",46.05799,23.57612,0
"LIDL Alba Iulia","Sibiu","Food & Drink","N/A","Alba",45.7928,24.13049,0
"La Dolce Vita Alba-Iulia","Strada Bucovinei 4 510097 Alba Iulia","Restaurant","N/A","Alba",46.07172,23.57844,0
"The city of Alba Iulia.","Alba, Romania","Attraction","N/A","Alba",46.043785538461535,23.613401153846155,0
"The Apuseni Mountains.","Alba, Romania","Attraction","The Apuseni Mountains (Romanian: Munții Apuseni, Hungarian: Erdélyi-középhegység) is a mountain range in Transylvania, Romania, which belongs to the Western Romanian Carpathians, also called Occidentali in Romanian. Their name translates from Romanian as Mountains of the sunset i.e. western. The highest peak is Cucurbăta Mare (Hungarian: Nagy-Bihar) at 1849 metres, also called Bihor Peak. The Apuseni Mountains have about 400 caves.","Alba",0,0,0
"Scărișoara Karst Complex.","Alba, Romania","Attraction","Alba County (Romanian pronunciation: [ˈalba]) is a county (județ) of Romania, in Transylvania, its capital city being Alba-Iulia with a population of 63,536.[1]","Alba",0,0,0
"Maidens' Fair on the Găina Mountain.","Alba, Romania","Attraction","Țara Moților (German: Motzenland), also known as Țara de Piatră (The Stone Land) is an ethnogeographical region of Romania in the Apuseni Mountains, on the upper basin of the Arieș and Crișul Alb River rivers. It covers parts of the Alba, Arad, Bihor, Cluj and Hunedoara counties of Romania and a section of it forms the Apuseni Natural Park.","Alba",0,0,0
