Nr crt,DENUMIRE UNITATE,ADRESA,LOCALITATE,JUDET,TIP UNITATE,STELE
1,PENSIUNEA SILINEL,STR LUCIAN BLAGA NR 1,ABRUD,ALBA,PENSIUNE,3
2,PENSIUNEA FILONUL DE AUR,STR LUCIAN BLAGA NR 5,ABRUD,ALBA,PENSIUNE,3
3,PENSIUNEA CONFORT,STR TRAIAN NR 2,ABRUD,ALBA,PENSIUNE,3
4,PAUL TOUR,STR CUZA VODA NR 7,AIUD,ALBA,AGENTIE DE TURISM,0
5,HOSTEL DOUA SALCII,STR ABRUDULUI NR 10,AIUD,ALBA,HOSTEL,3
6,HOTEL VICTORIA,STR IULIU MANIU NR 8,AIUD,ALBA,HOTEL,3
7,PENSIUNEA TRANSILVANIA,DN 1 KM 105,AIUD,ALBA,PENSIUNE,3
8,PENSIUNEA MELINDA,STR ION CREANGA NR 137,AIUD,ALBA,PENSIUNE,3
9,COLIBRI TOUR,B-DUL REVOLUTIEI 1989 BL CF 11 P,ALBA IULIA,ALBA,AGENTIE DE TURISM,0
10,EXIMTUR,B-DUL REVOLUTIEI NR 1989 NR 14,ALBA IULIA,ALBA,AGENTIE DE TURISM,0
11,FILADELFIA ALBA IULIA,CALEA MOTILOR MV10 STADION,ALBA IULIA,ALBA,AGENTIE DE TURISM,0
12,PARALELA 45 TURISM,PIATA IULIU MANIU P1,ALBA IULIA,ALBA,AGENTIE DE TURISM,0
13,COLIBRI TOUR,STR AVRAM IANCU NR 3,ALBA IULIA,ALBA,AGENTIE DE TURISM,0
14,TUI TRAVEL,STR AVRAM IANCU NR 3,ALBA IULIA,ALBA,AGENTIE DE TURISM,0
15,GEMINA,STR CLOSCA NR 6 BL ABCDEF,ALBA IULIA,ALBA,AGENTIE DE TURISM,0
16,ALBENA TOURS,STR FREDERIC MISTRAL NR 2,ALBA IULIA,ALBA,AGENTIE DE TURISM,0
17,INNTOUR,STR GEORGE COSBUC NR 24A,ALBA IULIA,ALBA,AGENTIE DE TURISM,0
18,HOTEL TARA,STR CLUJULUI NR 25,ALBA IULIA,ALBA,HOTEL,3
19,HOTEL HERMES,STR TOPORASILOR NR 20,ALBA IULIA,ALBA,HOTEL,3
20,HOTEL CETATE,STR UNIRII NR 3,ALBA IULIA,ALBA,HOTEL,2
21,PENSIUNEA MA,STR ARIESULUI NR 51,ALBA IULIA,ALBA,PENSIUNE,3
22,PENSIUNEA ARA,STR DRAGASANI NR 15 D,ALBA IULIA,ALBA,PENSIUNE,3
23,PENSIUNEA MARYLOU,STR LALELOR NR 18,ALBA IULIA,ALBA,PENSIUNE,4
24,VILA ELISABETA,STR CALEA MOTILOR NR 158,ALBA IULIA,ALBA,VILA,3
25,PENSIUNEA POIANA VERDE,STR CIONESTI NR 242,ALBAC,ALBA,PENSIUNE,4
26,PENSIUNEA MERI,STR HOREA NR 27,ALBAC,ALBA,PENSIUNE,3
27,VILA PERLA ARIESULUI,STR CLOSCA NR 32,ALBAC,ALBA,VILA,2
28,PENSIUNEA SIMONA,STR ARIESENI NR 3F,ARIESENI,ALBA,PENSIUNE,3
29,PENSIUNEA LA VASILE,STR CENTRU NR 16,ARIESENI,ALBA,PENSIUNE,3
30,PENSIUNEA GEANINA,STR CENTRU NR 31A,ARIESENI,ALBA,PENSIUNE,3
31,PENSIUNEA JULIANA,STR FATA LAPUS NR 352B,ARIESENI,ALBA,PENSIUNE,4
32,PENSIUNEA SIMONA,STR PRINCIPALA NR 3F,ARIESENI,ALBA,PENSIUNE,3
33,PENSIUNEA CASA MOTULUI,STR PRINCIPALA NR 468,ARIESENI,ALBA,PENSIUNE,3
34,PENSIUNEA VRAJA MUNTELUI,STR PRINCIPALA NR 76A SAT BUBEST,ARIESENI,ALBA,PENSIUNE,4
35,SARRA VANK,STR CENTRU NR 29A,ARIESENI,ALBA,VILA,3
36,VILA VANK,STR CENTRU NR 29A,ARIESENI,ALBA,VILA,2
37,PENSIUNEA CASA NOASTRA,STR PRINCIPALA FN,ARIESENI ISLAZ,ALBA,PENSIUNE,4
38,PENSIUNEA COSETTE,STR PRINCIPALA NR 196A,BENIC,ALBA,PENSIUNE,3
39,INITIO TRAVEL,STR EROILOR BL 21 PARTER AP 2,BLAJ,ALBA,AGENTIE DE TURISM,0
40,COLIBRI TOUR,STR REPUBLICII NR 57,BLAJ,ALBA,AGENTIE DE TURISM,0
41,PENSIUNEA TURISTICA MONTANA POPA,BULEVARDUL REPUBLICII NR 4,BLAJ,ALBA,PENSIUNE,3
42,ELMARIA TURISM & FLOWER,STR MOTILOR NR 14,CAMPENI,ALBA,AGENTIE DE TURISM,0
43,TOTAL TRAVEL,STR AL SAHIA NR 36 BL S7 PARTER,CUGIR,ALBA,AGENTIE DE TURISM,0
44,MOTEL BLEUMARIN,DN 1 FN,GALDA DE JOS,ALBA,MOTEL,3
45,DIG'S PENSIUNE TURISTICA,STR PRINCIPALA FN,GARDA DE SUS,ALBA,PENSIUNE,3
46,PENSIUNEA ONELIA,STR PRINCIPALA NR 98,GARDA DE SUS,ALBA,PENSIUNE,3
47,PENSIUNEA CASA BUTNARULUI,STR PRINCIPALA NR 175,GEOAGIU DE SUS,ALBA,PENSIUNE,2
48,PENSIUNEA NICOLA,STR VALEA ARAZII NR 5,HOREA,ALBA,PENSIUNE,2
49,PENSIUNEA BOEMA,STR PRINCIPALA NR 276,LANCRAM,ALBA,PENSIUNE,3
Nr crt,DENUMIRE UNITATE,ADRESA,LOCALITATE,JUDET,TIP UNITATE,STELE
50,CASA DIVES,STR BISERICII NR 280,PIANU DE SUS,ALBA,PENSIUNE,3
51,PENSIUNEA FLOARE DE COLT,STR PRINCIPALA NR 74A,POIANA GALDEI,ALBA,PENSIUNE,4
52,HOSTEL RUSTIQ,STR BLAJULUI NR 238,SANTIMBRU,ALBA,HOSTEL,3
53,ALBA TOURISM,STR CLOSCA NR 4 BL 5ABCDEF SC E,SARD,ALBA,AGENTIE DE TURISM,0
54,EUROLINES,STR LUCIAN BLAGA NR 83-85,SEBES,ALBA,AGENTIE DE TURISM,0
