NAME,ADDRESS,CATEGORY,DESCRIPTION,COUNTY,LATITUDE,LONGITUDE,RATING
"The city of Alba Iulia.","Alba, Romania","Attraction","N/A","Alba",0,0,0
"The Apuseni Mountains.","Alba, Romania","Attraction","The Apuseni Mountains (Romanian: Munții Apuseni, Hungarian: Erdélyi-középhegység) is a mountain range in Transylvania, Romania, which belongs to the Western Romanian Carpathians, also called Occidentali in Romanian. Their name translates from Romanian as Mountains of the sunset i.e. western. The highest peak is Cucurbăta Mare (Hungarian: Nagy-Bihar) at 1849 metres, also called Bihor Peak. The Apuseni Mountains have about 400 caves.","Alba",0,0,0
"Scărișoara Karst Complex.","Alba, Romania","Attraction","Alba County (Romanian pronunciation: [ˈalba]) is a county (județ) of Romania, in Transylvania, its capital city being Alba-Iulia with a population of 63,536.[1]","Alba",0,0,0
"Maidens' Fair on the Găina Mountain.","Alba, Romania","Attraction","Țara Moților (German: Motzenland), also known as Țara de Piatră (The Stone Land) is an ethnogeographical region of Romania in the Apuseni Mountains, on the upper basin of the Arieș and Crișul Alb River rivers. It covers parts of the Alba, Arad, Bihor, Cluj and Hunedoara counties of Romania and a section of it forms the Apuseni Natural Park.","Alba",0,0,0
"The Hill With Snails west of Vidra.","Alba, Romania","Attraction","Alba County (Romanian pronunciation: [ˈalba]) is a county (județ) of Romania, in Transylvania, its capital city being Alba-Iulia with a population of 63,536.[1]","Alba",0,0,0
"Barren Detunata and Shaggy Detunata (Detunatele)","Alba, Romania","Attraction","Detunatele is a site of columnar jointing in Transylvania, Alba County, Romania. Detunatele means lightning strike. The columns are hexagonal shaped basalt and 1,258 meters tall on two peaks: Detunata Goala and Detunata Flocoasa (Barren Detunata and Shaggy Detunata). They are located in the Metaliferi Mountains and are a tourist attraction. They are 1.5 km apart. They formations are shaped like humps and there are stories and legends associated with them.[1]","Alba",0,0,0
"The Câlnic Castle and the Castle of Gârbova.","Alba, Romania","Attraction","Alba County (Romanian pronunciation: [ˈalba]) is a county (județ) of Romania, in Transylvania, its capital city being Alba-Iulia with a population of 63,536.[1]","Alba",0,0,0
"The Towns and Churches of Sebeș and Aiud.","Alba, Romania","Attraction","Alba County (Romanian pronunciation: [ˈalba]) is a county (județ) of Romania, in Transylvania, its capital city being Alba-Iulia with a population of 63,536.[1]","Alba",0,0,0
"The Ocna Mureș Resort.","Alba, Romania","Attraction","Alba County (Romanian pronunciation: [ˈalba]) is a county (județ) of Romania, in Transylvania, its capital city being Alba-Iulia with a population of 63,536.[1]","Alba",0,0,0
"The Țara Moților ethnographical area. Situated in the Apuseni Mountains, Țara Moților is a region with strong Romanian traditions.","Alba, Romania","Attraction","Alba County (Romanian pronunciation: [ˈalba]) is a county (județ) of Romania, in Transylvania, its capital city being Alba-Iulia with a population of 63,536.[1]","Alba",0,0,0
"Rosia Montana Mining Cultural Landscape - Mining began 2000 years ago on Mt. Kirnik, with well-preserved Roman galleries. A Canadian company attempted an open-pit mine, but abandoned the project around 2007. Roșia Montană is a famous locality among mineral collectors for fine native gold specimens.[4][5]","Alba, Romania","Attraction","Alba County (Romanian pronunciation: [ˈalba]) is a county (județ) of Romania, in Transylvania, its capital city being Alba-Iulia with a population of 63,536.[1]","Alba",0,0,0
"The city of Arad","Arad, Romania","Attraction","Arad (Romanian pronunciation: [aˈrad] (listen); Hungarian: Arad; Serbian: Арад/Arad) is the capital city of Arad County, historically situated in the region of Crișana, and having extended into the neighboring Banat region in the 20th century.[2] Arad is the third largest city in Western Romania, behind Timișoara and Oradea, and the 12th largest in Romania, with a population of 159,704.","Arad",0,0,0
